symbol,side,quantity,price,executed_at,account_id,notes
AAPL,BUY,100,150.00,2024-01-15T10:30:00-05:00,ACCT001,Initial long position
AAPL,SELL,100,155.00,2024-01-20T14:00:00-05:00,ACCT001,Closed for $500 profit
TSLA,BUY,50,200.00,2024-01-22T09:45:00-05:00,ACCT001,
TSLA,SELL,50,210.00,2024-01-25T15:30:00-05:00,ACCT001,
SPY,SELL,200,450.00,2024-02-01T11:00:00-05:00,ACCT001,Short position opened
SPY,BUY,200,445.00,2024-02-05T13:00:00-05:00,ACCT001,Covered short for $1000 profit
NVDA,BUY,25,500.00,2024-02-10T10:15:00-05:00,ACCT001,
NVDA,SELL,25,520.00,2024-02-15T14:30:00-05:00,ACCT001,
QQQ,BUY,75.5,380.00,2024-02-20T10:00:00-05:00,ACCT001,Fractional shares test
QQQ,SELL,75.5,385.00,2024-02-25T15:00:00-05:00,ACCT001,
